Technology,Count,Category
JavaScript,14943,Language Used
SQL,12602,Language Used
HTML/CSS,12410,Language Used
TypeScript,10709,Language Used
Python,9590,Language Used
Bash/Shell (all shells),7244,Language Used
C#,6340,Language Used
Java,5982,Language Used
PHP,4644,Language Used
PowerShell,3438,Language Used
Go,3305,Language Used
C++,3081,Language Used
C,2777,Language Used
Rust,2284,Language Used
Kotlin,1958,Language Used
Ruby,1500,Language Used
Dart,1390,Language Used
Lua,1160,Language Used
Visual Basic (.Net),957,Language Used
Swift,898,Language Used
Groovy,756,Language Used
R,711,Language Used
VBA,710,Language Used
Assembly,685,Language Used
Elixir,673,Language Used
MATLAB,592,Language Used
Scala,507,Language Used
Perl,463,Language Used
Objective-C,390,Language Used
GDScript,387,Language Used
Delphi,349,Language Used
Solidity,302,Language Used
Haskell,300,Language Used
MicroPython,285,Language Used
Erlang,251,Language Used
Clojure,245,Language Used
Lisp,237,Language Used
F#,194,Language Used
Zig,187,Language Used
Apex,176,Language Used
Prolog,151,Language Used
Julia,143,Language Used
Fortran,141,Language Used
Cobol,122,Language Used
Ada,107,Language Used
OCaml,105,Language Used
Crystal,83,Language Used
Nim,54,Language Used
Zephyr,39,Language Used
PostgreSQL,11514,Database Used
MySQL,8556,Database Used
SQLite,7021,Database Used
MongoDB,5930,Database Used
Microsoft SQL Server,5870,Database Used
Redis,5814,Database Used
MariaDB,3994,Database Used
Elasticsearch,3491,Database Used
Dynamodb,2268,Database Used
Oracle,1907,Database Used
Cloud Firestore,1467,Database Used
Firebase Realtime Database,1429,Database Used
BigQuery,1177,Database Used
Supabase,1122,Database Used
Cosmos DB,1070,Database Used
H2,884,Database Used
Microsoft Access,802,Database Used
Snowflake,620,Database Used
InfluxDB,597,Database Used
Cassandra,544,Database Used
Neo4J,445,Database Used
Databricks SQL,402,Database Used
Clickhouse,399,Database Used
Solr,388,Database Used
IBM DB2,326,Database Used
DuckDB,305,Database Used
Couch DB,263,Database Used
Cockroachdb,247,Database Used
Firebird,206,Database Used
Couchbase,166,Database Used
Presto,124,Database Used
EventStoreDB,70,Database Used
RavenDB,68,Database Used
Datomic,57,Database Used
TiDB,43,Database Used
Amazon Web Services (AWS),10871,Platform Used
Microsoft Azure,6681,Platform Used
Google Cloud,5537,Platform Used
Cloudflare,3874,Platform Used
Digital Ocean,3170,Platform Used
Firebase,3025,Platform Used
Vercel,2875,Platform Used
Heroku,2002,Platform Used
Netlify,1662,Platform Used
Hetzner,1392,Platform Used
VMware,1341,Platform Used
Supabase,1009,Platform Used
Managed Hosting,817,Platform Used
"Linode, now Akamai",816,Platform Used
